Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 6-16-2017 10:31PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  Second_Code.ngd
output file: Second_Code_pad.csv
Part type:   xc95288xl
Speed grade: -6
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,VCC,,VCCIO,,,,,,,,,,
P2,TIE,,I/O/GTS3,,,,,,,,,,
P3,TIE,,I/O/GTS4,,,,,,,,,,
P4,Out<17>,O,I/O,OUTPUT,,,,,,,,,
P5,TIE,,I/O/GTS1,,,,,,,,,,
P6,TIE,,I/O/GTS2,,,,,,,,,,
P7,TIE,,I/O,,,,,,,,,,
P8,VCC,,VCCINT,,,,,,,,,,
P9,TIE,,I/O,,,,,,,,,,
P10,Out<14>,O,I/O,OUTPUT,,,,,,,,,
P11,IN<8>,I,I/O,INPUT,,,,,,,,,
P12,TIE,,I/O,,,,,,,,,,
P13,TIE,,I/O,,,,,,,,,,
P14,Out<10>,O,I/O,OUTPUT,,,,,,,,,
P15,TIE,,I/O,,,,,,,,,,
P16,IN<9>,I,I/O,INPUT,,,,,,,,,
P17,TIE,,I/O,,,,,,,,,,
P18,GND,,GND,,,,,,,,,,
P19,TIE,,I/O,,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,Out<21>,O,I/O,OUTPUT,,,,,,,,,
P22,Out<22>,O,I/O,OUTPUT,,,,,,,,,
P23,TIE,,I/O,,,,,,,,,,
P24,Out<23>,O,I/O,OUTPUT,,,,,,,,,
P25,TIE,,I/O,,,,,,,,,,
P26,TIE,,I/O,,,,,,,,,,
P27,Out<24>,O,I/O,OUTPUT,,,,,,,,,
P28,Out<1>,O,I/O,OUTPUT,,,,,,,,,
P29,GND,,GND,,,,,,,,,,
P30,Clk,GCK,I/O/GCK1,,,,,,,,,,
P31,TIE,,I/O,,,,,,,,,,
P32,TIE,,I/O/GCK2,,,,,,,,,,
P33,TIE,,I/O,,,,,,,,,,
P34,TIE,,I/O,,,,,,,,,,
P35,Out<16>,O,I/O,OUTPUT,,,,,,,,,
